1,2
2,3
3,4
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,6
1,2
2,11
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,6
1,2
2,11
3,3
4,4
5,5
6,6
7,7
8,8
9,11
10,10
11,6
1,2
2,3
3,3
4,4
5,5
6,6
7,7
8,8
9,11
10,10
11,9
1,2
2,11
3,3
4,6
5,5
6,6
7,7
8,8
9,11
10,10
11,9
1,2
2,9
3,3
4,4
5,5
6,6
7,7
8,8
9,10
10,10
11,6
1,1
2,3
3,3
4,4
5,5
6,5
7,5
8,7
9,9
10,10
11,11
1,1
2,3
3,3
4,4
5,5
6,5
7,5
8,10
9,7
10,10
11,6
1,1
2,11
3,3
4,4
5,5
6,11
7,5
8,5
9,9
10,10
11,6
1,1
2,11
3,11
4,4
5,5
6,6
7,5
8,8
9,9
10,10
11,6
1,1
2,11
3,3
4,4
5,5
6,11
7,5
8,8
9,11
10,10
11,6
1,1
2,11
3,3
4,11
5,5
6,11
7,5
8,8
9,9
10,10
11,6
1,1
2,3
3,3
4,4
5,3
6,3
7,5
8,7
9,7
10,2
11,4
1,1
2,11
3,4
4,4
5,5
6,6
7,6
8,7
9,7
10,2
11,11
1,1
2,11
3,4
4,4
5,5
6,11
7,9
8,9
9,9
10,2
11,11
1,1
2,3
3,4
4,4
5,4
6,3
7,9
8,9
9,9
10,2
11,4
1,1
2,3
3,4
4,4
5,4
6,3
7,9
8,9
9,9
10,2
11,11
1,1
2,3
3,4
4,4
5,4
6,4
7,9
8,9
9,9
10,2
11,3
