1,1
2,2
3,3
4,6
5,5
6,5
7,5
8,8
9,9
10,10
11,6
1,1
2,2
3,3
4,6
5,5
6,5
7,5
8,8
9,9
10,10
11,6
1,1
2,2
3,3
4,6
5,5
6,5
7,5
8,10
9,9
10,10
11,6
1,1
2,2
3,3
4,6
5,5
6,5
7,5
8,10
9,9
10,10
11,6
1,1
2,2
3,3
4,6
5,5
6,5
7,7
8,10
9,11
10,10
11,6
1,1
2,2
3,3
4,6
5,5
6,6
7,7
8,10
9,9
10,10
11,6
1,9
2,2
3,2
4,11
5,5
6,5
7,10
8,8
9,10
10,8
11,10
1,10
2,5
3,2
4,11
5,5
6,8
7,9
8,8
9,10
10,8
11,9
1,10
2,2
3,2
4,11
5,7
6,10
7,9
8,8
9,10
10,8
11,9
1,10
2,2
3,2
4,11
5,10
6,11
7,9
8,8
9,10
10,10
11,9
1,10
2,2
3,1
4,11
5,10
6,11
7,9
8,8
9,10
10,10
11,9
1,10
2,2
3,2
4,10
5,11
6,10
7,10
8,8
9,10
10,10
11,9
1,1
2,1
3,3
4,4
5,7
6,6
7,3
8,8
9,2
10,10
11,11
1,1
2,2
3,3
4,4
5,6
6,6
7,3
8,8
9,9
10,10
11,2
1,1
2,2
3,2
4,6
5,6
6,6
7,3
8,8
9,9
10,10
11,2
1,1
2,2
3,3
4,6
5,6
6,6
7,3
8,8
9,9
10,10
11,7
1,1
2,2
3,3
4,4
5,6
6,6
7,3
8,8
9,11
10,2
11,11
1,1
2,2
3,3
4,3
5,6
6,6
7,9
8,8
9,10
10,10
11,11
