1,1
2,2
3,3
4,6
5,6
6,6
7,7
8,9
9,9
10,9
11,3
1,1
2,2
3,3
4,6
5,7
6,3
7,7
8,9
9,9
10,9
11,3
1,1
2,2
3,3
4,6
5,7
6,3
7,7
8,9
9,9
10,9
11,3
1,1
2,2
3,7
4,6
5,6
6,6
7,7
8,9
9,9
10,9
11,3
1,1
2,2
3,3
4,6
5,7
6,6
7,7
8,9
9,9
10,9
11,6
1,1
2,2
3,3
4,6
5,6
6,6
7,9
8,9
9,9
10,9
11,6
1,1
2,2
3,3
4,6
5,6
6,3
7,9
8,9
9,3
10,2
11,3
1,1
2,2
3,3
4,6
5,6
6,3
7,9
8,9
9,3
10,2
11,3
1,1
2,2
3,3
4,6
5,6
6,3
7,9
8,9
9,3
10,2
11,3
1,1
2,2
3,3
4,6
5,6
6,3
7,9
8,9
9,3
10,2
11,3
1,1
2,2
3,7
4,6
5,6
6,3
7,6
8,9
9,2
10,2
11,3
1,1
2,2
3,3
4,6
5,6
6,3
7,7
8,9
9,2
10,2
11,3
1,2
2,2
3,3
4,3
5,6
6,6
7,9
8,9
9,9
10,2
11,3
1,2
2,2
3,3
4,3
5,6
6,6
7,9
8,9
9,9
10,2
11,3
1,2
2,2
3,3
4,6
5,3
6,6
7,9
8,9
9,9
10,2
11,6
1,2
2,2
3,3
4,6
5,6
6,6
7,9
8,9
9,9
10,2
11,3
1,1
2,2
3,10
4,6
5,6
6,6
7,9
8,9
9,9
10,2
11,3
1,2
2,2
3,2
4,3
5,6
6,6
7,9
8,9
9,9
10,9
11,3
