1,1
2,1
3,1
4,6
5,11
6,11
7,10
8,9
9,10
10,10
11,10
1,1
2,1
3,1
4,4
5,11
6,11
7,10
8,9
9,10
10,10
11,10
1,1
2,1
3,1
4,6
5,10
6,10
7,10
8,9
9,10
10,10
11,10
1,1
2,1
3,1
4,10
5,10
6,5
7,10
8,9
9,10
10,10
11,11
1,1
2,1
3,1
4,10
5,10
6,5
7,11
8,9
9,10
10,10
11,11
1,1
2,1
3,1
4,6
5,10
6,10
7,10
8,10
9,10
10,10
11,11
1,1
2,2
3,4
4,4
5,11
6,11
7,4
8,9
9,9
10,10
11,11
1,1
2,2
3,2
4,4
5,11
6,4
7,5
8,7
9,9
10,10
11,11
1,1
2,2
3,2
4,4
5,11
6,11
7,11
8,7
9,9
10,10
11,11
1,1
2,2
3,2
4,4
5,5
6,11
7,11
8,7
9,9
10,10
11,11
1,1
2,2
3,2
4,4
5,4
6,11
7,11
8,7
9,10
10,10
11,11
1,1
2,2
3,2
4,4
5,4
6,4
7,5
8,9
9,10
10,10
11,4
1,1
2,2
3,1
4,11
5,11
6,11
7,9
8,10
9,11
10,10
11,10
1,1
2,2
3,1
4,11
5,11
6,11
7,9
8,10
9,9
10,10
11,11
1,1
2,2
3,1
4,11
5,11
6,11
7,7
8,8
9,10
10,10
11,11
1,1
2,2
3,2
4,11
5,11
6,11
7,7
8,8
9,10
10,10
11,11
1,1
2,2
3,2
4,11
5,11
6,11
7,9
8,9
9,10
10,10
11,11
1,1
2,1
3,1
4,11
5,11
6,11
7,9
8,9
9,10
10,10
11,11
