1,1
2,1
3,1
4,1
5,8
6,8
7,8
8,1
9,8
10,1
11,8
1,1
2,1
3,1
4,1
5,8
6,8
7,8
8,1
9,8
10,1
11,1
1,1
2,1
3,1
4,1
5,8
6,8
7,8
8,1
9,8
10,1
11,1
1,1
2,1
3,1
4,1
5,8
6,7
7,8
8,1
9,8
10,1
11,1
1,1
2,1
3,1
4,1
5,7
6,7
7,8
8,1
9,8
10,1
11,8
1,1
2,1
3,1
4,1
5,10
6,7
7,8
8,1
9,1
10,1
11,1
1,1
2,1
3,2
4,7
5,7
6,7
7,8
8,8
9,8
10,10
11,5
1,1
2,1
3,2
4,7
5,7
6,7
7,8
8,8
9,9
10,10
11,5
1,1
2,1
3,2
4,7
5,7
6,7
7,7
8,8
9,10
10,10
11,7
1,1
2,1
3,2
4,7
5,7
6,7
7,7
8,8
9,8
10,10
11,7
1,1
2,1
3,2
4,7
5,7
6,7
7,8
8,8
9,8
10,10
11,7
1,1
2,1
3,7
4,7
5,8
6,7
7,8
8,8
9,8
10,10
11,5
1,1
2,1
3,1
4,2
5,7
6,7
7,8
8,8
9,7
10,8
11,10
1,1
2,1
3,1
4,2
5,7
6,7
7,8
8,8
9,2
10,8
11,2
1,1
2,1
3,1
4,2
5,7
6,7
7,10
8,8
9,2
10,10
11,2
1,1
2,1
3,1
4,2
5,7
6,2
7,8
8,8
9,10
10,10
11,10
1,1
2,1
3,1
4,2
5,7
6,2
7,8
8,8
9,10
10,10
11,8
1,1
2,1
3,1
4,2
5,2
6,2
7,8
8,8
9,10
10,10
11,7
